97362,"43,793","53,324","4,143"
97364,"27,033","47,966",401
97365,"48,879","61,127","10,367"
97366,"51,372","58,325","1,265"
97367,"31,014","44,428","9,178"
97368,"3,356","5,147",320
97369,"47,809","55,593",189
97370,"59,951","71,222","7,945"
97371,"59,076","71,399",770
97373,"43,183","52,543",176
97374,"56,446","68,641","4,973"
97375,"63,781","75,180","1,250"
97376,"42,881","50,141","1,355"
97377,"54,131","67,667",825
97378,"52,604","62,695","8,057"
97380,"44,087","54,395","2,213"
97381,"53,257","63,293","13,172"
97383,"46,563","65,296","8,694"
97384,"39,795","50,987",27
97385,"58,072","63,530","2,710"
97386,"44,809","53,858","12,717"
97388,"32,538","41,634",905
97389,"48,549","61,684","1,486"
97390,"38,200","48,881",623
97391,"45,944","56,073","5,312"
97392,"57,426","75,632","4,339"
97394,"33,339","44,208","4,444"
97396,"42,690","52,140","2,881"
97401,"35,363","51,786","37,105"
97402,"40,052","48,551","45,191"
97403,"36,504","64,143","10,245"
97404,"51,742","60,264","28,616"
97405,"50,779","68,359","43,675"
97406,"31,476","44,583",123
97408,"59,571","86,719","9,497"
97410,"36,558","44,803",634
97411,"35,314","44,297","6,752"
97412,"30,962","43,384",600
97413,"46,764","58,219",881
97414,"36,073","45,275",215
97415,"39,474","53,150","13,262"
97416,"48,267","53,631",770
97417,"34,454","42,808","1,885"
97419,"51,636","65,555",983
97420,"36,764","47,761","26,945"
97423,"36,977","51,428","7,126"
97424,"42,753","51,485","16,173"
97426,"48,134","65,238","8,380"
97429,"36,558","44,803",667
97430,"30,962","43,384",456
97431,"51,327","61,965","2,426"
97434,"44,151","52,658",973
97435,"45,493","54,760","2,061"
97436,"45,425","54,692",833
97437,"56,463","68,465","2,369"
97438,"51,427","60,261","1,268"
97439,"35,294","48,200","12,805"
97441,"26,713","35,911",230
97442,"36,558","44,803","2,023"
97443,"40,193","49,317","1,801"
97444,"42,820","45,759","4,768"
97446,"52,990","66,814","4,093"
97447,"38,506","47,792",876
97448,"46,436","56,359","12,240"
97449,"42,588","57,095","1,661"
97450,"29,704","43,289",624
97451,"42,388","52,831",425
97452,"51,346","60,195","1,155"
97453,"31,372","43,835",912
97454,"61,766","80,781","1,298"
97455,"50,797","70,976","2,566"
97456,"52,723","63,958","2,794"
97457,"38,351","46,666","9,663"
97458,"36,094","45,406","4,973"
97459,"41,704","56,873","14,202"
97461,"55,035","67,604",710
97462,"44,713","55,328","3,804"
97463,"39,629","50,715","3,739"
97465,"29,517","43,256","2,126"
97466,"36,073","45,275",846
97467,"33,577","45,082","5,683"
97469,"34,016","42,392","2,515"
97470,"37,931","50,813","18,772"
97471,"48,187","57,893","26,197"
97473,"28,055","37,705",337
97476,"29,442","43,242",229
97477,"37,271","47,063","35,746"
97478,"45,421","54,448","32,042"
97479,"40,261","48,160","8,436"
97480,"31,144","43,422",414
97481,"48,267","53,631",591
97484,"36,558","44,803",287
97486,"59,550","70,043",826
97487,"54,097","62,726","6,732"
97488,"46,750","58,223","1,045"
97489,"46,750","58,223",903
97490,"50,967","62,456",376
97492,"39,629","50,715",647
97493,"40,234","61,065",316
97494,"34,939","48,371",20
97495,"34,939","48,371","1,491"
97496,"38,131","47,654","6,840"
97497,"44,702","53,396","1,498"
97498,"37,382","53,098","1,613"
97499,"35,235","44,774","1,924"
97501,"38,511","45,581","36,982"
97502,"51,580","59,122","23,393"
97503,"48,672","58,660","8,818"
97504,"50,304","65,145","40,438"
97520,"43,272","62,640","23,789"
97522,"44,970","53,499",688
97523,"25,167","36,334","5,871"
97524,"51,275","58,749","10,580"
97525,"49,712","62,301","4,580"
97526,"37,488","50,939","32,035"
97527,"41,372","53,689","28,774"
97530,"51,417","70,929","6,511"
97531,"25,306","36,387",402
97532,"43,800","55,621","2,378"
97534,"25,167","36,334",729
97535,"40,736","52,733","4,595"
97536,"44,970","53,499",859
97537,"43,230","57,080","6,683"
97538,"32,542","39,168","2,276"
97539,"37,458","48,645","2,740"
97540,"40,436","48,869","7,594"
97541,"38,284","49,179","1,427"
97543,"39,636","55,391",916
97544,"43,361","50,428","2,211"
97601,"40,019","54,846","21,760"
